enrollment_id,employee_id,course_id,enrolled_date,completed_date,progress,ratings,feedback
1,467,22,2023-08-12,2023-12-04,70,1.5,"Poorly organized, I expected better."
2,425,15,2024-08-12,2024-10-01,84,5.0,Very informative and well structured.
3,423,1,2023-09-21,2024-02-24,31,3.6,Average course with some useful content.
4,107,11,2022-10-27,2023-02-20,15,2.6,It was a decent experience overall.
5,409,24,2024-05-16,2024-07-15,68,2.4,"Not worth the time, very disappointing."
6,312,4,2023-12-04,2024-04-11,35,1.0,The content was outdated and irrelevant.
7,195,23,2023-05-15,2023-09-08,35,1.2,"Not worth the time, very disappointing."
8,371,13,2022-10-11,2022-11-22,56,3.5,It was a decent experience overall.
9,326,2,2023-10-29,2024-01-16,27,2.7,The course met my expectations.
10,152,1,2023-05-03,2023-06-06,29,1.7,The content was outdated and irrelevant.
11,354,13,2024-08-04,2024-12-30,9,3.4,"Not much to say, it was a standard course."
12,264,22,2024-09-09,2025-01-17,49,4.4,I really enjoyed this course.
13,467,20,2023-05-11,2023-10-28,80,2.2,I would not recommend this course.
14,189,17,2023-06-10,2023-11-15,64,2.0,"Poorly organized, I expected better."
15,61,20,2023-05-26,2023-07-26,44,4.4,I really enjoyed this course.
16,263,18,2023-06-28,2023-10-18,17,2.7,"Not much to say, it was a standard course."
17,340,23,2023-05-16,2023-07-19,50,1.8,I would not recommend this course.
18,175,8,2024-08-04,2024-11-29,63,2.7,"Not much to say, it was a standard course."
19,431,16,2023-11-02,2024-02-23,70,1.7,"Not worth the time, very disappointing."
20,213,24,2023-08-05,2023-09-13,21,2.4,The content was outdated and irrelevant.
21,10,16,2022-12-24,2023-05-16,24,1.6,I would not recommend this course.
22,419,23,2023-07-27,2023-12-06,58,4.1,I really enjoyed this course.
23,172,5,2024-09-15,2024-11-15,65,1.0,"Poorly organized, I expected better."
24,413,16,2023-05-21,2023-11-17,4,3.0,"Not much to say, it was a standard course."
25,70,2,2024-09-28,2025-01-27,0,3.1,Average course with some useful content.
26,334,4,2023-12-18,2024-01-28,54,2.3,"Poorly organized, I expected better."
27,104,5,2024-06-27,2024-08-31,42,4.0,Very informative and well structured.
28,320,15,2024-06-20,2024-10-22,30,4.3,The materials provided were very helpful.
29,101,2,2024-01-08,2024-04-13,28,3.5,The course met my expectations.
30,41,3,2023-05-13,2023-10-04,18,2.8,"The course was okay, not too bad."
31,332,10,2023-10-09,2023-12-18,83,3.8,"Not much to say, it was a standard course."
32,438,9,2023-10-26,2024-04-17,53,4.9,I really enjoyed this course.
33,154,21,2024-07-11,2024-12-19,54,4.6,"The instructor was great, learned a lot!"
34,276,23,2024-02-05,2024-04-08,81,1.6,"Poorly organized, I expected better."
35,77,2,2022-10-17,2022-11-19,39,4.4,"Excellent course, highly recommend!"
36,139,19,2024-08-20,2025-01-07,49,3.8,Average course with some useful content.
37,352,10,2024-08-08,2024-11-02,98,3.8,The course met my expectations.
38,252,9,2023-04-16,2023-07-11,8,1.5,I would not recommend this course.
39,468,20,2024-07-30,2025-01-06,40,3.4,"Not much to say, it was a standard course."
40,264,22,2023-04-05,2023-06-30,35,4.6,I really enjoyed this course.
41,51,7,2023-01-22,2023-07-02,87,3.5,Average course with some useful content.
42,96,23,2023-01-12,2023-07-09,33,3.4,It was a decent experience overall.
43,334,20,2022-10-22,2022-12-05,30,4.7,I really enjoyed this course.
44,183,21,2023-12-02,2024-03-10,78,1.7,The content was outdated and irrelevant.
45,157,8,2023-01-01,2023-02-04,25,2.7,"Not much to say, it was a standard course."
46,184,9,2023-08-19,2023-10-01,69,4.1,Very informative and well structured.
47,121,10,2023-10-31,2024-03-24,19,1.6,I would not recommend this course.
48,93,22,2024-09-03,2025-02-07,47,1.7,I would not recommend this course.
49,468,1,2023-11-27,2024-03-26,75,3.6,"Not much to say, it was a standard course."
50,146,8,2024-10-04,2024-11-25,97,2.2,I didn't learn anything new from this course.
51,78,1,2024-08-13,2024-11-06,57,4.5,The materials provided were very helpful.
52,277,7,2022-11-13,2023-05-02,35,3.9,The course met my expectations.
53,48,24,2023-01-22,2023-02-22,70,4.2,The materials provided were very helpful.
54,401,5,2024-04-10,2024-05-28,88,2.6,"Not much to say, it was a standard course."
55,431,21,2024-04-07,2024-07-11,72,4.1,"The instructor was great, learned a lot!"
56,87,24,2024-03-28,2024-04-27,90,4.3,I really enjoyed this course.
57,444,1,2024-06-05,2024-09-25,23,3.9,Average course with some useful content.
58,145,15,2024-06-07,2024-08-23,33,3.7,Average course with some useful content.
59,162,2,2022-11-03,2023-01-28,81,2.3,"Poorly organized, I expected better."
60,334,22,2024-01-17,2024-07-03,99,3.4,Average course with some useful content.
61,398,11,2024-02-17,2024-06-11,34,1.0,"Poorly organized, I expected better."
62,164,23,2022-11-26,2023-04-06,54,4.0,The materials provided were very helpful.
63,135,24,2022-12-18,2023-03-25,44,3.3,"Not much to say, it was a standard course."
64,195,22,2023-05-15,2023-07-27,35,1.8,"Not worth the time, very disappointing."
65,483,5,2023-03-03,2023-04-25,5,4.8,"Excellent course, highly recommend!"
66,168,18,2024-08-03,2024-09-03,91,4.6,Very informative and well structured.
67,94,11,2023-11-23,2024-02-20,14,2.2,"Poorly organized, I expected better."
68,469,24,2023-11-22,2023-12-31,51,2.0,"Not worth the time, very disappointing."
69,120,11,2022-10-22,2022-12-26,42,4.7,"The instructor was great, learned a lot!"
70,420,16,2023-03-26,2023-09-10,40,4.3,"Excellent course, highly recommend!"
71,178,24,2024-06-28,2024-11-03,8,3.9,The course met my expectations.
72,123,12,2024-08-29,2024-10-24,96,4.1,"The instructor was great, learned a lot!"
73,49,17,2023-09-13,2024-02-06,19,2.8,Average course with some useful content.
74,378,1,2023-08-23,2023-10-31,96,1.9,"Poorly organized, I expected better."
75,334,18,2023-03-27,2023-08-22,53,3.1,The course met my expectations.
76,272,1,2023-09-17,2024-02-15,21,2.0,I didn't learn anything new from this course.
77,272,20,2023-09-26,2024-02-08,45,1.4,"Not worth the time, very disappointing."
78,267,13,2024-04-04,2024-05-28,59,4.3,"Excellent course, highly recommend!"
