EmployeeID,CourseID,Proficiency,SkillType,CertificateLink,ScoreObtained,Verified,ScoreCategory
JMD301,9,Basic,ASSESSMENT,nan,58.0,False,Below average
JMD301,52,Basic,ASSESSMENT,nan,99.0,False,Excellent
JMD301,31,Advanced,ASSESSMENT,nan,68.0,True,Average
JMD301,37,Basic,CERTIFICATE,http://example.com/certificate/JMD301/37,,True,
JMD301,29,Advanced,CERTIFICATE,http://example.com/certificate/JMD301/29,,True,
JMD302,15,Basic,CERTIFICATE,http://example.com/certificate/JMD302/15,,True,
JMD302,26,Intermediate,CERTIFICATE,http://example.com/certificate/JMD302/26,,True,
JMD302,16,Advanced,ASSESSMENT,nan,70.0,True,Average
JMD302,44,Intermediate,CERTIFICATE,http://example.com/certificate/JMD302/44,,True,
JMD302,35,Advanced,CERTIFICATE,http://example.com/certificate/JMD302/35,,True,
JMD302,42,Advanced,CERTIFICATE,http://example.com/certificate/JMD302/42,,False,
JMD303,63,Intermediate,ASSESSMENT,nan,71.0,False,Good
JMD303,48,Intermediate,CERTIFICATE,http://example.com/certificate/JMD303/48,,False,
JMD303,55,Intermediate,ASSESSMENT,nan,75.0,False,Good
JMD303,60,Intermediate,CERTIFICATE,http://example.com/certificate/JMD303/60,,True,
JMD303,30,Intermediate,CERTIFICATE,http://example.com/certificate/JMD303/30,,True,
JMD303,15,Basic,ASSESSMENT,nan,52.0,False,Below average
JMD304,19,Basic,ASSESSMENT,nan,54.0,True,Below average
JMD304,5,Advanced,ASSESSMENT,nan,95.0,True,Excellent
JMD304,50,Advanced,ASSESSMENT,nan,72.0,True,Good
JMD304,9,Intermediate,CERTIFICATE,http://example.com/certificate/JMD304/9,,False,
JMD304,24,Advanced,CERTIFICATE,http://example.com/certificate/JMD304/24,,True,
JMD305,26,Intermediate,ASSESSMENT,nan,52.0,True,Below average
JMD305,58,Advanced,ASSESSMENT,nan,86.0,True,Best
JMD305,25,Basic,CERTIFICATE,http://example.com/certificate/JMD305/25,,False,
JMD305,27,Advanced,CERTIFICATE,http://example.com/certificate/JMD305/27,,False,
JMD305,47,Advanced,CERTIFICATE,http://example.com/certificate/JMD305/47,,False,
JMD306,26,Intermediate,CERTIFICATE,http://example.com/certificate/JMD306/26,,True,
JMD306,53,Advanced,CERTIFICATE,http://example.com/certificate/JMD306/53,,True,
JMD306,66,Basic,ASSESSMENT,nan,67.0,True,Average
JMD306,6,Basic,CERTIFICATE,http://example.com/certificate/JMD306/6,,False,
JMD306,44,Basic,ASSESSMENT,nan,90.0,False,Best
JMD306,35,Intermediate,CERTIFICATE,http://example.com/certificate/JMD306/35,,True,
JMD306,19,Intermediate,CERTIFICATE,http://example.com/certificate/JMD306/19,,True,
JMD307,16,Basic,CERTIFICATE,http://example.com/certificate/JMD307/16,,True,
JMD307,31,Intermediate,ASSESSMENT,nan,70.0,False,Average
JMD307,27,Basic,ASSESSMENT,nan,78.0,True,Good
JMD307,23,Basic,ASSESSMENT,nan,91.0,True,Excellent
JMD307,48,Intermediate,ASSESSMENT,nan,97.0,True,Excellent
JMD307,25,Basic,CERTIFICATE,http://example.com/certificate/JMD307/25,,True,
JMD307,7,Advanced,ASSESSMENT,nan,52.0,True,Below average
JMD308,38,Intermediate,ASSESSMENT,nan,56.0,True,Below average
JMD308,65,Advanced,ASSESSMENT,nan,72.0,False,Good
JMD308,50,Basic,CERTIFICATE,http://example.com/certificate/JMD308/50,,True,
JMD308,2,Basic,CERTIFICATE,http://example.com/certificate/JMD308/2,,True,
JMD308,27,Advanced,ASSESSMENT,nan,76.0,True,Good
JMD308,70,Advanced,CERTIFICATE,http://example.com/certificate/JMD308/70,,True,
JMD309,35,Intermediate,CERTIFICATE,http://example.com/certificate/JMD309/35,,True,
JMD309,43,Basic,ASSESSMENT,nan,78.0,True,Good
JMD309,25,Basic,ASSESSMENT,nan,71.0,True,Good
JMD309,14,Intermediate,CERTIFICATE,http://example.com/certificate/JMD309/14,,True,
JMD309,19,Advanced,CERTIFICATE,http://example.com/certificate/JMD309/19,,False,
JMD309,51,Intermediate,ASSESSMENT,nan,64.0,False,Average
JMD310,23,Intermediate,ASSESSMENT,nan,63.0,True,Average
JMD310,46,Basic,CERTIFICATE,http://example.com/certificate/JMD310/46,,False,
JMD310,5,Advanced,CERTIFICATE,http://example.com/certificate/JMD310/5,,False,
JMD310,70,Advanced,CERTIFICATE,http://example.com/certificate/JMD310/70,,True,
JMD310,18,Advanced,CERTIFICATE,http://example.com/certificate/JMD310/18,,True,
JMD310,48,Advanced,CERTIFICATE,http://example.com/certificate/JMD310/48,,True,
JMD310,7,Intermediate,ASSESSMENT,nan,74.0,True,Good
