id,EmployeeID,CourseID,Verified,Proficiency,CertificateLink,ScoreObtained,SkillType
110,JMD301,9,False,Basic,,58.0,ASSESSMENT
112,JMD301,52,False,Basic,,99.0,ASSESSMENT
114,JMD302,42,False,Advanced,http://example.com/certificate/JMD302/42,,CERTIFICATE
120,JMD303,55,False,Intermediate,,75.0,ASSESSMENT
121,JMD303,48,False,Intermediate,http://example.com/certificate/JMD303/48,,CERTIFICATE
123,JMD303,63,False,Intermediate,,71.0,ASSESSMENT
125,JMD303,15,False,Basic,,52.0,ASSESSMENT
127,JMD304,9,False,Intermediate,http://example.com/certificate/JMD304/9,,CERTIFICATE
131,JMD305,47,False,Advanced,http://example.com/certificate/JMD305/47,,CERTIFICATE
133,JMD305,27,False,Advanced,http://example.com/certificate/JMD305/27,,CERTIFICATE
135,JMD305,25,False,Basic,http://example.com/certificate/JMD305/25,,CERTIFICATE
137,JMD306,6,False,Basic,http://example.com/certificate/JMD306/6,,CERTIFICATE
139,JMD306,44,False,Basic,,90.0,ASSESSMENT
143,JMD307,31,False,Intermediate,,70.0,ASSESSMENT
154,JMD308,65,False,Advanced,,72.0,ASSESSMENT
156,JMD309,51,False,Intermediate,,64.0,ASSESSMENT
158,JMD309,19,False,Advanced,http://example.com/certificate/JMD309/19,,CERTIFICATE
162,JMD310,46,False,Basic,http://example.com/certificate/JMD310/46,,CERTIFICATE
166,JMD310,5,False,Advanced,http://example.com/certificate/JMD310/5,,CERTIFICATE
169,JMD311,15,False,Intermediate,,76.0,ASSESSMENT
170,JMD311,24,False,Advanced,,51.0,ASSESSMENT
172,JMD311,50,False,Basic,,69.0,ASSESSMENT
174,JMD311,51,False,Basic,,80.0,ASSESSMENT
175,JMD312,39,False,Basic,http://example.com/certificate/JMD312/39,,CERTIFICATE
176,JMD312,27,False,Advanced,http://example.com/certificate/JMD312/27,,CERTIFICATE
177,JMD312,12,False,Basic,,72.0,ASSESSMENT
178,JMD312,41,False,Basic,,80.0,ASSESSMENT
179,JMD312,46,False,Basic,http://example.com/certificate/JMD312/46,,CERTIFICATE
192,JMD314,38,False,Basic,http://example.com/certificate/JMD314/38,,CERTIFICATE
193,JMD314,51,False,Basic,http://example.com/certificate/JMD314/51,,CERTIFICATE
194,JMD314,61,False,Basic,http://example.com/certificate/JMD314/61,,CERTIFICATE
195,JMD315,34,False,Intermediate,,70.0,ASSESSMENT
111,JMD301,31,True,Advanced,,68.0,ASSESSMENT
113,JMD301,37,True,Basic,http://example.com/certificate/JMD301/37,,CERTIFICATE
115,JMD302,35,True,Advanced,http://example.com/certificate/JMD302/35,,CERTIFICATE
117,JMD302,44,True,Intermediate,http://example.com/certificate/JMD302/44,,CERTIFICATE
119,JMD302,16,True,Advanced,,70.0,ASSESSMENT
118,JMD302,26,True,Intermediate,http://example.com/certificate/JMD302/26,,CERTIFICATE
116,JMD302,15,True,Basic,http://example.com/certificate/JMD302/15,,CERTIFICATE
122,JMD303,60,True,Intermediate,http://example.com/certificate/JMD303/60,,CERTIFICATE
124,JMD303,30,True,Intermediate,http://example.com/certificate/JMD303/30,,CERTIFICATE
126,JMD304,19,True,Basic,,54.0,ASSESSMENT
128,JMD304,24,True,Advanced,http://example.com/certificate/JMD304/24,,CERTIFICATE
130,JMD304,50,True,Advanced,,72.0,ASSESSMENT
129,JMD304,5,True,Advanced,,95.0,ASSESSMENT
132,JMD305,26,True,Intermediate,,52.0,ASSESSMENT
134,JMD305,58,True,Advanced,,86.0,ASSESSMENT
136,JMD306,26,True,Intermediate,http://example.com/certificate/JMD306/26,,CERTIFICATE
138,JMD306,19,True,Intermediate,http://example.com/certificate/JMD306/19,,CERTIFICATE
140,JMD306,66,True,Basic,,67.0,ASSESSMENT
142,JMD306,53,True,Advanced,http://example.com/certificate/JMD306/53,,CERTIFICATE
144,JMD307,16,True,Basic,http://example.com/certificate/JMD307/16,,CERTIFICATE
146,JMD307,48,True,Intermediate,,97.0,ASSESSMENT
148,JMD307,7,True,Advanced,,52.0,ASSESSMENT
150,JMD308,2,True,Basic,http://example.com/certificate/JMD308/2,,CERTIFICATE
152,JMD308,50,True,Basic,http://example.com/certificate/JMD308/50,,CERTIFICATE
153,JMD308,38,True,Intermediate,,56.0,ASSESSMENT
155,JMD308,70,True,Advanced,http://example.com/certificate/JMD308/70,,CERTIFICATE
157,JMD309,43,True,Basic,,78.0,ASSESSMENT
159,JMD309,35,True,Intermediate,http://example.com/certificate/JMD309/35,,CERTIFICATE
161,JMD309,14,True,Intermediate,http://example.com/certificate/JMD309/14,,CERTIFICATE
163,JMD310,48,True,Advanced,http://example.com/certificate/JMD310/48,,CERTIFICATE
165,JMD310,18,True,Advanced,http://example.com/certificate/JMD310/18,,CERTIFICATE
167,JMD310,70,True,Advanced,http://example.com/certificate/JMD310/70,,CERTIFICATE
151,JMD308,27,True,Advanced,,76.0,ASSESSMENT
149,JMD307,25,True,Basic,http://example.com/certificate/JMD307/25,,CERTIFICATE
147,JMD307,23,True,Basic,,91.0,ASSESSMENT
145,JMD307,27,True,Basic,,78.0,ASSESSMENT
160,JMD309,25,True,Basic,,71.0,ASSESSMENT
164,JMD310,7,True,Intermediate,,74.0,ASSESSMENT
168,JMD310,23,True,Intermediate,,63.0,ASSESSMENT
171,JMD311,49,True,Basic,http://example.com/certificate/JMD311/49,,CERTIFICATE
173,JMD311,20,True,Basic,http://example.com/certificate/JMD311/20,,CERTIFICATE
184,JMD313,43,True,Basic,,60.0,ASSESSMENT
185,JMD313,13,True,Basic,,75.0,ASSESSMENT
186,JMD313,50,True,Basic,http://example.com/certificate/JMD313/50,,CERTIFICATE
187,JMD313,30,True,Intermediate,,82.0,ASSESSMENT
188,JMD313,53,True,Advanced,,91.0,ASSESSMENT
189,JMD314,48,True,Advanced,http://example.com/certificate/JMD314/48,,CERTIFICATE
183,JMD313,52,True,Advanced,,69.0,ASSESSMENT
190,JMD314,42,True,Basic,http://example.com/certificate/JMD314/42,,CERTIFICATE
180,JMD312,53,True,Advanced,http://example.com/certificate/JMD312/53,,CERTIFICATE
181,JMD312,6,True,Advanced,,99.0,ASSESSMENT
